id,catid,latitude,longitude,title,cutdescription,description,street,city,zip,address,date
1568,16,30.884064,75.887665,"Department of Laboratory services, SPS Hospitals, Ludhiana ","Department of Laboratory services, SPS Hospitals, Sherpur Chowk, G.T. Road,Sherpur, Ludhiana,...","Department of Laboratory services, SPS Hospitals, Sherpur Chowk, G.T. Road,Sherpur, Ludhiana, Punjab 141001","Sherpur Chowk, G.T. Road, Sherpur",Ludhiana,141001,"Sherpur Chowk, G.T. Road, Sherpur,  Ludhiana, 141001, Punjab, India",2020-08-28 05:22:33
1569,16,26.899157,80.938637,"IPSUM Diagnostics, Lucknow","IPSUM Diagnostics,KS-14, Sitapur Road, Aliganj, Purania Flyover, Lucknow, Uttar Pradesh 226024","IPSUM Diagnostics,KS-14, Sitapur Road, Aliganj, Purania Flyover, Lucknow, Uttar Pradesh 226024","KS-14, Sitapur Road, Aliganj, Purania Flyover",Lucknow,226024,"KS-14, Sitapur Road, Aliganj, Purania Flyover,  Lucknow, 226024, Uttar Pradesh, India",2020-08-28 05:26:05
1570,16,10.89689,75.927269,"Neethi Lab, Tirur"," Neethi Lab, Thettammal Building, Near Government Hospital, Tirur, Malappuram kerala 6760101"," Neethi Lab, Thettammal Building, Near Government Hospital, Tirur, Malappuram kerala 6760101","Thettammal Building, Near Government Hospital",Tirur,6760101,"Thettammal Building, Near Government Hospital,  Tirur, 6760101, Kerala, India",2020-08-28 05:32:09
1571,16,28.894091,78.729179," Cosmos Hospital, Moradabad","Cosmos Hospital (A Unit Of Emerging Projects Pvt. Ltd.), Prem Nagar, Kanth Road, Mohra Ki Milak,..."," Cosmos Hospital (A Unit Of Emerging Projects Pvt. Ltd.), Prem Nagar, Kanth Road, Mohra Ki Milak, Moradabad, Uttar Pradesh 244001","Prem Nagar, Kanth Road, Mohra Ki Milak",Moradabad, 244001,"Prem Nagar, Kanth Road, Mohra Ki Milak,  Moradabad,  244001, Uttar Pradesh, India",2020-08-28 05:36:14
1572,16,19.021,73.014587," UDC satellite laboratory Pvt Ltd,Thane","UDC satellite laboratory Pvt Ltd, F04, Haware Fantasia Businesses Park, Next toInorbit Mall, Near..."," UDC satellite laboratory Pvt Ltd, F04, Haware Fantasia Businesses Park, Next toInorbit Mall, Near Vashi railway station, Sector30A,Vashi,Navi Mumbai, Thane,  Maharashtra 400706"," F04, Haware Fantasia Businesses Park, Next to Inorbit Mall, Near Vashi railway station, Sector30A,Vashi,Navi Mumbai",Thane,400706," F04, Haware Fantasia Businesses Park, Next to Inorbit Mall, Near Vashi railway station, Sector30A,Vashi,Navi Mumbai,  Thane, 400706, Maharashtra, India",2020-08-28 05:41:09
1573,16,23.044405,72.561821,"In Vitro Speciality Laboratory, Ahmedabad","In Vitro Speciality Laboratory (A Unit of Speciality lab Private Limited, S.F 205-210, Golden...","In Vitro Speciality Laboratory (A Unit of Speciality lab Private Limited, S.F 205-210, Golden Triangle, NR. Sardar Patel Stadium, Ahmedabad, Gujarat 380009"," S.F 205- 210, Golden Triangle, NR. Sardar Patel Stadium",Ahmedabad,380009," S.F 205- 210, Golden Triangle, NR. Sardar Patel Stadium,  Ahmedabad, 380009, Gujarat, India",2020-08-28 05:58:33
1574,16,30.949299,74.619453,"Anil Baghi Hospital Laboratory, Firozpur","Anil Baghi Hospital Laboratory, Anil Baghi Martyr Road , Model Town, Firozpur, Punjab 152002","Anil Baghi Hospital Laboratory, Anil Baghi Martyr Road , Model Town, Firozpur, Punjab 152002","Anil Baghi Martyr Anil Baghi Martyr Road , Model Town, Model Town",Firozpur,152002,"Anil Baghi Martyr Anil Baghi Martyr Road , Model Town, Model Town,  Firozpur, 152002, Punjab, India",2020-08-28 06:01:39
1575,16,17.340393,78.507195,"Deccan College of Medical Sciences, Hyderabad",,"Deccan College of Medical Sciences,  DMRL X Road, Santosh Nagar, Kanchan Bagh, Hyderabad, Telangana 500058","DMRL X Road, Santosh Nagar, Kanchan Bagh",Hyderabad,500058,"DMRL X Road, Santosh Nagar, Kanchan Bagh,  Hyderabad, 500058, Telangana, India",2020-08-28 06:04:09
1576,16,12.861219,80.136353,"Tagore Medical College and Hospital, Chennai","Tagore Medical College and Hospital, Rathinamangalam, Melakottaiyur, Chennai, Tamil Nadu 600127","Tagore Medical College and Hospital, Rathinamangalam, Melakottaiyur, Chennai, Tamil Nadu 600127","Rathinamangalam, Melakottaiyur",Chennai,600127,"Rathinamangalam, Melakottaiyur,  Chennai, 600127, Tamil Nadu, India",2020-08-28 06:06:40
1577,15,22.720835,87.988129," Udaynarayanpur SGH, Howrah"," Udaynarayanpur SGH, Howrah, Udaynarayanpur-Jagatballabhpur 1, Howrah, West Bengal 711226"," Udaynarayanpur SGH, Howrah, Udaynarayanpur-Jagatballabhpur 1, Howrah, West Bengal 711226", Udaynarayanpur-Jagatballabhpur 1,Howrah,711226," Udaynarayanpur-Jagatballabhpur 1,  Howrah, 711226, West Bengal , India",2020-08-28 06:09:14
